X,Y,U,V,P
0.006250,0.006250,0.000023,0.000014,-0.278244
0.018750,0.006250,0.000053,0.000029,-0.280194
0.031250,0.006250,0.000052,0.000041,-0.282196
0.043750,0.006250,0.000023,0.000050,-0.283939
0.056250,0.006250,-0.000031,0.000058,-0.285306
0.068750,0.006250,-0.000106,0.000065,-0.286217
0.081250,0.006250,-0.000203,0.000071,-0.286607
0.093750,0.006250,-0.000319,0.000077,-0.286421
0.106250,0.006250,-0.000452,0.000082,-0.285613
0.118750,0.006250,-0.000603,0.000086,-0.284144
0.131250,0.006250,-0.000768,0.000089,-0.281984
0.143750,0.006250,-0.000947,0.000092,-0.279110
0.156250,0.006250,-0.001137,0.000094,-0.275506
0.168750,0.006250,-0.001338,0.000095,-0.271162
0.181250,0.006250,-0.001548,0.000096,-0.266075
0.193750,0.006250,-0.001765,0.000096,-0.260248
0.206250,0.006250,-0.001987,0.000095,-0.253692
0.218750,0.006250,-0.002214,0.000094,-0.246420
0.231250,0.006250,-0.002442,0.000092,-0.238453
0.243750,0.006250,-0.002671,0.000090,-0.229816
0.256250,0.006250,-0.002900,0.000087,-0.220538
0.268750,0.006250,-0.003126,0.000084,-0.210652
0.281250,0.006250,-0.003349,0.000081,-0.200196
0.293750,0.006250,-0.003566,0.000077,-0.189209
0.306250,0.006250,-0.003778,0.000073,-0.177735
0.318750,0.006250,-0.003982,0.000069,-0.165819
0.331250,0.006250,-0.004178,0.000065,-0.153508
0.343750,0.006250,-0.004364,0.000060,-0.140853
0.356250,0.006250,-0.004539,0.000056,-0.127904
0.368750,0.006250,-0.004703,0.000051,-0.114711
0.381250,0.006250,-0.004855,0.000046,-0.101327
0.393750,0.006250,-0.004993,0.000041,-0.087805
0.406250,0.006250,-0.005118,0.000037,-0.074195
0.418750,0.006250,-0.005229,0.000032,-0.060551
0.431250,0.006250,-0.005324,0.000027,-0.046924
0.443750,0.006250,-0.005405,0.000022,-0.033362
0.456250,0.006250,-0.005469,0.000018,-0.019916
0.468750,0.006250,-0.005518,0.000013,-0.006633
0.481250,0.006250,-0.005550,0.000009,0.006440
0.493750,0.006250,-0.005566,0.000004,0.019261
0.506250,0.006250,-0.005566,0.000000,0.031785
0.518750,0.006250,-0.005549,-0.000004,0.043974
0.531250,0.006250,-0.005516,-0.000008,0.055787
0.543750,0.006250,-0.005466,-0.000011,0.067190
0.556250,0.006250,-0.005401,-0.000015,0.078149
0.568750,0.006250,-0.005320,-0.000018,0.088632
0.581250,0.006250,-0.005223,-0.000021,0.098610
0.593750,0.006250,-0.005112,-0.000023,0.108058
0.606250,0.006250,-0.004987,-0.000026,0.116950
0.618750,0.006250,-0.004848,-0.000028,0.125266
0.631250,0.006250,-0.004696,-0.000030,0.132986
0.643750,0.006250,-0.004532,-0.000031,0.140094
0.656250,0.006250,-0.004357,-0.000032,0.146576
0.668750,0.006250,-0.004172,-0.000033,0.152420
0.681250,0.006250,-0.003977,-0.000033,0.157619
0.693750,0.006250,-0.003774,-0.000033,0.162164
0.706250,0.006250,-0.003564,-0.000032,0.166053
0.718750,0.006250,-0.003348,-0.000031,0.169285
0.731250,0.006250,-0.003128,-0.000029,0.171861
0.743750,0.006250,-0.002904,-0.000027,0.173785
0.756250,0.006250,-0.002679,-0.000024,0.175066
0.768750,0.006250,-0.002452,-0.000021,0.175712
0.781250,0.006250,-0.002228,-0.000016,0.175738
0.793750,0.006250,-0.002005,-0.000012,0.175159
0.806250,0.006250,-0.001787,-0.000006,0.173995
0.818750,0.006250,-0.001574,-0.000000,0.172270
0.831250,0.006250,-0.001369,0.000006,0.170010
0.843750,0.006250,-0.001173,0.000013,0.167246
0.856250,0.006250,-0.000988,0.000021,0.164013
0.868750,0.006250,-0.000815,0.000030,0.160353
0.881250,0.006250,-0.000656,0.000040,0.156310
0.893750,0.006250,-0.000513,0.000050,0.151940
0.906250,0.006250,-0.000387,0.000060,0.147305
0.918750,0.006250,-0.000281,0.000072,0.142479
0.931250,0.006250,-0.000194,0.000083,0.137549
0.943750,0.006250,-0.000128,0.000094,0.132620
0.956250,0.006250,-0.000080,0.000103,0.127809
0.968750,0.006250,-0.000044,0.000108,0.123231
0.981250,0.006250,-0.000004,0.000100,0.118917
0.993750,0.006250,0.000010,0.000075,0.113600
0.006250,0.018750,0.000036,0.000024,-0.280048
0.018750,0.018750,0.000083,0.000080,-0.281605
0.031250,0.018750,0.000072,0.000130,-0.283187
0.043750,0.018750,-0.000002,0.000175,-0.284518
0.056250,0.018750,-0.000136,0.000216,-0.285486
0.068750,0.018750,-0.000329,0.000254,-0.286009
0.081250,0.018750,-0.000576,0.000288,-0.286023
0.093750,0.018750,-0.000875,0.000319,-0.285474
0.106250,0.018750,-0.001222,0.000348,-0.284318
0.118750,0.018750,-0.001615,0.000373,-0.282517
0.131250,0.018750,-0.002049,0.000394,-0.280044
0.143750,0.018750,-0.002520,0.000413,-0.276877
0.156250,0.018750,-0.003025,0.000428,-0.273002
0.168750,0.018750,-0.003558,0.000440,-0.268411
0.181250,0.018750,-0.004117,0.000449,-0.263102
0.193750,0.018750,-0.004697,0.000454,-0.257081
0.206250,0.018750,-0.005293,0.000457,-0.250357
0.218750,0.018750,-0.005901,0.000457,-0.242946
0.231250,0.018750,-0.006517,0.000453,-0.234869
0.243750,0.018750,-0.007137,0.000447,-0.226151
0.256250,0.018750,-0.007757,0.000439,-0.216821
0.268750,0.018750,-0.008372,0.000428,-0.206912
0.281250,0.018750,-0.008979,0.000415,-0.196462
0.293750,0.018750,-0.009574,0.000400,-0.185511
0.306250,0.018750,-0.010154,0.000384,-0.174100
0.318750,0.018750,-0.010716,0.000365,-0.162276
0.331250,0.018750,-0.011256,0.000345,-0.150084
0.343750,0.018750,-0.011771,0.000324,-0.137573
0.356250,0.018750,-0.012259,0.000302,-0.124794
0.368750,0.018750,-0.012716,0.000279,-0.111795
0.381250,0.018750,-0.013142,0.000254,-0.098629
0.393750,0.018750,-0.013532,0.000230,-0.085346
0.406250,0.018750,-0.013887,0.000204,-0.071996
0.418750,0.018750,-0.014203,0.000178,-0.058631
0.431250,0.018750,-0.014478,0.000152,-0.045299
0.443750,0.018750,-0.014713,0.000125,-0.032050
0.456250,0.018750,-0.014905,0.000099,-0.018931
0.468750,0.018750,-0.015054,0.000072,-0.005987
0.481250,0.018750,-0.015159,0.000045,0.006737
0.493750,0.018750,-0.015219,0.000019,0.019198
0.506250,0.018750,-0.015234,-0.000007,0.031356
0.518750,0.018750,-0.015203,-0.000032,0.043173
0.531250,0.018750,-0.015128,-0.000057,0.054611
0.543750,0.018750,-0.015009,-0.000081,0.065638
0.556250,0.018750,-0.014845,-0.000104,0.076220
0.568750,0.018750,-0.014638,-0.000127,0.086328
0.581250,0.018750,-0.014389,-0.000148,0.095936
0.593750,0.018750,-0.014098,-0.000168,0.105018
0.606250,0.018750,-0.013768,-0.000187,0.113553
0.618750,0.018750,-0.013400,-0.000205,0.121520
0.631250,0.018750,-0.012996,-0.000220,0.128903
0.643750,0.018750,-0.012558,-0.000234,0.135686
0.656250,0.018750,-0.012089,-0.000247,0.141858
0.668750,0.018750,-0.011590,-0.000257,0.147407
0.681250,0.018750,-0.011065,-0.000265,0.152328
0.693750,0.018750,-0.010517,-0.000271,0.156615
0.706250,0.018750,-0.009949,-0.000274,0.160265
0.718750,0.018750,-0.009363,-0.000275,0.163279
0.731250,0.018750,-0.008764,-0.000273,0.165659
0.743750,0.018750,-0.008156,-0.000269,0.167412
0.756250,0.018750,-0.007541,-0.000261,0.168544
0.768750,0.018750,-0.006925,-0.000251,0.169068
0.781250,0.018750,-0.006311,-0.000237,0.168996
0.793750,0.018750,-0.005703,-0.000220,0.168346
0.806250,0.018750,-0.005106,-0.000200,0.167138
0.818750,0.018750,-0.004525,-0.000177,0.165395
0.831250,0.018750,-0.003962,-0.000150,0.163144
0.843750,0.018750,-0.003423,-0.000119,0.160416
0.856250,0.018750,-0.002913,-0.000086,0.157246
0.868750,0.018750,-0.002435,-0.000049,0.153674
0.881250,0.018750,-0.001994,-0.000009,0.149746
0.893750,0.018750,-0.001595,0.000035,0.145513
0.906250,0.018750,-0.001240,0.000081,0.141036
0.918750,0.018750,-0.000933,0.000130,0.136381
0.931250,0.018750,-0.000676,0.000179,0.131628
0.943750,0.018750,-0.000469,0.000227,0.126862
0.956250,0.018750,-0.000308,0.000267,0.122173
0.968750,0.018750,-0.000181,0.000290,0.117649
0.981250,0.018750,-0.000072,0.000278,0.113343
0.993750,0.018750,-0.000009,0.000213,0.108390
0.006250,0.031250,0.000033,0.000018,-0.281344
0.018750,0.031250,0.000068,0.000125,-0.282645
0.031250,0.031250,0.000031,0.000237,-0.283921
0.043750,0.031250,-0.000091,0.000347,-0.284924
0.056250,0.031250,-0.000300,0.000451,-0.285554
0.068750,0.031250,-0.000594,0.000549,-0.285739
0.081250,0.031250,-0.000970,0.000641,-0.285416
0.093750,0.031250,-0.001425,0.000725,-0.284535
0.106250,0.031250,-0.001953,0.000803,-0.283056
0.118750,0.031250,-0.002551,0.000872,-0.280945
0.131250,0.031250,-0.003212,0.000934,-0.278176
0.143750,0.031250,-0.003931,0.000989,-0.274730
0.156250,0.031250,-0.004702,0.001035,-0.270595
0.168750,0.031250,-0.005519,0.001073,-0.265765
0.181250,0.031250,-0.006375,0.001103,-0.260242
0.193750,0.031250,-0.007265,0.001125,-0.254029
0.206250,0.031250,-0.008180,0.001139,-0.247140
0.218750,0.031250,-0.009115,0.001145,-0.239591
0.231250,0.031250,-0.010064,0.001144,-0.231402
0.243750,0.031250,-0.011019,0.001136,-0.222601
0.256250,0.031250,-0.011976,0.001121,-0.213216
0.268750,0.031250,-0.012926,0.001100,-0.203282
0.281250,0.031250,-0.013866,0.001072,-0.192834
0.293750,0.031250,-0.014789,0.001039,-0.181914
0.306250,0.031250,-0.015689,0.001001,-0.170562
0.318750,0.031250,-0.016562,0.000958,-0.158825
0.331250,0.031250,-0.017402,0.000910,-0.146747
0.343750,0.031250,-0.018206,0.000858,-0.134377
0.356250,0.031250,-0.018968,0.000803,-0.121764
0.368750,0.031250,-0.019684,0.000744,-0.108956
0.381250,0.031250,-0.020351,0.000682,-0.096003
0.393750,0.031250,-0.020966,0.000617,-0.082955
0.406250,0.031250,-0.021524,0.000550,-0.069863
0.418750,0.031250,-0.022024,0.000482,-0.056773
0.431250,0.031250,-0.022463,0.000411,-0.043735
0.443750,0.031250,-0.022838,0.000340,-0.030796
0.456250,0.031250,-0.023147,0.000267,-0.018001
0.468750,0.031250,-0.023390,0.000194,-0.005395
0.481250,0.031250,-0.023564,0.000121,0.006981
0.493750,0.031250,-0.023670,0.000048,0.019084
0.506250,0.031250,-0.023705,-0.000025,0.030878
0.518750,0.031250,-0.023671,-0.000097,0.042324
0.531250,0.031250,-0.023567,-0.000168,0.053388
0.543750,0.031250,-0.023393,-0.000238,0.064037
0.556250,0.031250,-0.023151,-0.000306,0.074243
0.568750,0.031250,-0.022841,-0.000372,0.083977
0.581250,0.031250,-0.022466,-0.000435,0.093213
0.593750,0.031250,-0.022026,-0.000496,0.101930
0.606250,0.031250,-0.021524,-0.000553,0.110106
0.618750,0.031250,-0.020963,-0.000607,0.117724
0.631250,0.031250,-0.020345,-0.000657,0.124768
0.643750,0.031250,-0.019674,-0.000703,0.131224
0.656250,0.031250,-0.018953,-0.000744,0.137081
0.668750,0.031250,-0.018186,-0.000780,0.142332
0.681250,0.031250,-0.017378,-0.000810,0.146971
0.693750,0.031250,-0.016533,-0.000834,0.150992
0.706250,0.031250,-0.015656,-0.000853,0.154397
0.718750,0.031250,-0.014752,-0.000864,0.157184
0.731250,0.031250,-0.013826,-0.000869,0.159359
0.743750,0.031250,-0.012885,-0.000866,0.160928
0.756250,0.031250,-0.011934,-0.000856,0.161900
0.768750,0.031250,-0.010980,-0.000838,0.162285
0.781250,0.031250,-0.010028,-0.000812,0.162099
0.793750,0.031250,-0.009085,-0.000778,0.161358
0.806250,0.031250,-0.008159,-0.000736,0.160083
0.818750,0.031250,-0.007254,-0.000685,0.158298
0.831250,0.031250,-0.006379,-0.000625,0.156028
0.843750,0.031250,-0.005540,-0.000557,0.153304
0.856250,0.031250,-0.004744,-0.000480,0.150162
0.868750,0.031250,-0.003997,-0.000396,0.146638
0.881250,0.031250,-0.003305,-0.000303,0.142778
0.893750,0.031250,-0.002675,-0.000202,0.138630
0.906250,0.031250,-0.002111,-0.000095,0.134249
0.918750,0.031250,-0.001617,0.000018,0.129698
0.931250,0.031250,-0.001197,0.000131,0.125042
0.943750,0.031250,-0.000848,0.000240,0.120355
0.956250,0.031250,-0.000567,0.000335,0.115710
0.968750,0.031250,-0.000342,0.000398,0.111180
0.981250,0.031250,-0.000155,0.000401,0.106824
0.993750,0.031250,-0.000034,0.000316,0.101797
0.006250,0.043750,0.000022,0.000017,-0.282020
0.018750,0.043750,0.000028,0.000185,-0.283187
0.031250,0.043750,-0.000050,0.000375,-0.284254
0.043750,0.043750,-0.000229,0.000569,-0.285011
0.056250,0.043750,-0.000514,0.000760,-0.285372
0.068750,0.043750,-0.000906,0.000942,-0.285274
0.081250,0.043750,-0.001402,0.001114,-0.284662
0.093750,0.043750,-0.001997,0.001274,-0.283492
0.106250,0.043750,-0.002688,0.001422,-0.281728
0.118750,0.043750,-0.003467,0.001557,-0.279338
0.131250,0.043750,-0.004329,0.001678,-0.276301
0.143750,0.043750,-0.005266,0.001785,-0.272602
0.156250,0.043750,-0.006270,0.001878,-0.268229
0.168750,0.043750,-0.007335,0.001955,-0.263181
0.181250,0.043750,-0.008450,0.002018,-0.257459
0.193750,0.043750,-0.009609,0.002066,-0.251070
0.206250,0.043750,-0.010803,0.002099,-0.244028
0.218750,0.043750,-0.012024,0.002118,-0.236351
0.231250,0.043750,-0.013262,0.002123,-0.228060
0.243750,0.043750,-0.014510,0.002114,-0.219183
0.256250,0.043750,-0.015760,0.002092,-0.209749
0.268750,0.043750,-0.017004,0.002058,-0.199792
0.281250,0.043750,-0.018234,0.002012,-0.189351
0.293750,0.043750,-0.019442,0.001955,-0.178463
0.306250,0.043750,-0.020623,0.001888,-0.167171
0.318750,0.043750,-0.021768,0.001811,-0.155520
0.331250,0.043750,-0.022871,0.001725,-0.143555
0.343750,0.043750,-0.023927,0.001630,-0.131323
0.356250,0.043750,-0.024929,0.001528,-0.118871
0.368750,0.043750,-0.025873,0.001419,-0.106249
0.381250,0.043750,-0.026752,0.001304,-0.093505
0.393750,0.043750,-0.027563,0.001183,-0.080687
0.406250,0.043750,-0.028302,0.001057,-0.067844
0.418750,0.043750,-0.028964,0.000927,-0.055023
