02_129_129_1000_UDS_08
RE: 1000.000000
ITERACTIONS: 3000
VARIABLES = "X", "Y", "U", "V", "P"
ZONE F=POINT, I=129, J=129
0.003876,0.003876,0.000006,0.000002,0.000407
0.011628,0.003876,0.000019,0.000001,0.000405
0.019380,0.003876,0.000035,0.000001,0.000401
0.027132,0.003876,0.000052,0.000001,0.000395
0.034884,0.003876,0.000068,0.000003,0.000387
0.042636,0.003876,0.000081,0.000005,0.000376
0.050388,0.003876,0.000090,0.000007,0.000363
0.058140,0.003876,0.000095,0.000009,0.000349
0.065891,0.003876,0.000095,0.000012,0.000333
0.073643,0.003876,0.000090,0.000014,0.000316
0.081395,0.003876,0.000081,0.000017,0.000298
0.089147,0.003876,0.000066,0.000019,0.000279
0.096899,0.003876,0.000047,0.000022,0.000259
0.104651,0.003876,0.000024,0.000024,0.000239
0.112403,0.003876,-0.000005,0.000026,0.000218
0.120155,0.003876,-0.000038,0.000028,0.000198
0.127907,0.003876,-0.000074,0.000031,0.000177
0.135659,0.003876,-0.000115,0.000032,0.000157
0.143411,0.003876,-0.000160,0.000034,0.000136
0.151163,0.003876,-0.000208,0.000036,0.000116
0.158915,0.003876,-0.000259,0.000037,0.000097
0.166667,0.003876,-0.000313,0.000039,0.000078
0.174419,0.003876,-0.000370,0.000040,0.000059
0.182171,0.003876,-0.000429,0.000041,0.000041
0.189922,0.003876,-0.000490,0.000042,0.000024
0.197674,0.003876,-0.000554,0.000043,0.000007
0.205426,0.003876,-0.000619,0.000044,-0.000009
0.213178,0.003876,-0.000685,0.000044,-0.000024
0.220930,0.003876,-0.000753,0.000045,-0.000038
0.228682,0.003876,-0.000822,0.000045,-0.000051
0.236434,0.003876,-0.000891,0.000045,-0.000064
0.244186,0.003876,-0.000962,0.000045,-0.000076
0.251938,0.003876,-0.001032,0.000045,-0.000086
0.259690,0.003876,-0.001102,0.000045,-0.000096
0.267442,0.003876,-0.001173,0.000045,-0.000105
0.275194,0.003876,-0.001243,0.000044,-0.000113
0.282946,0.003876,-0.001312,0.000044,-0.000120
