03_40_40_1000_QUICK_08
RE: 1000.000000
ITERACTIONS: 3000
VARIABLES = "X", "Y", "U", "V", "P"
ZONE F=POINT, I=40, J=40
0.012500,0.012500,0.000054,-0.000054,-0.000767
0.037500,0.012500,0.000126,-0.000018,-0.000781
0.062500,0.012500,0.000082,0.000063,-0.000811
0.087500,0.012500,-0.000128,0.000150,-0.000849
0.112500,0.012500,-0.000502,0.000229,-0.000889
0.137500,0.012500,-0.001020,0.000296,-0.000925
0.162500,0.012500,-0.001656,0.000348,-0.000954
0.187500,0.012500,-0.002382,0.000386,-0.000974
0.212500,0.012500,-0.003168,0.000410,-0.000984
0.237500,0.012500,-0.003988,0.000420,-0.000982
0.262500,0.012500,-0.004817,0.000418,-0.000968
0.287500,0.012500,-0.005630,0.000405,-0.000942
0.312500,0.012500,-0.006407,0.000382,-0.000904
0.337500,0.012500,-0.007129,0.000349,-0.000856
0.362500,0.012500,-0.007779,0.000309,-0.000799
0.387500,0.012500,-0.008342,0.000262,-0.000732
0.412500,0.012500,-0.008807,0.000210,-0.000659
0.437500,0.012500,-0.009164,0.000153,-0.000579
0.462500,0.012500,-0.009407,0.000094,-0.000496
0.487500,0.012500,-0.009530,0.000032,-0.000410
0.512500,0.012500,-0.009531,-0.000030,-0.000323
0.537500,0.012500,-0.009410,-0.000091,-0.000237
0.562500,0.012500,-0.009170,-0.000151,-0.000153
0.587500,0.012500,-0.008815,-0.000207,-0.000074
0.612500,0.012500,-0.008353,-0.000259,-0.000000
0.637500,0.012500,-0.007792,-0.000306,0.000067
0.662500,0.012500,-0.007146,-0.000346,0.000125
0.687500,0.012500,-0.006428,-0.000379,0.000173
0.712500,0.012500,-0.005654,-0.000402,0.000211
0.737500,0.012500,-0.004845,-0.000415,0.000237
0.762500,0.012500,-0.004021,-0.000417,0.000252
0.787500,0.012500,-0.003205,-0.000407,0.000254
0.812500,0.012500,-0.002423,-0.000383,0.000246
0.837500,0.012500,-0.001701,-0.000346,0.000226
0.862500,0.012500,-0.001067,-0.000294,0.000198
0.887500,0.012500,-0.000549,-0.000229,0.000163
0.912500,0.012500,-0.000171,-0.000153,0.000125
0.937500,0.012500,0.000049,-0.000070,0.000088
0.962500,0.012500,0.000110,0.000008,0.000058
0.987500,0.012500,0.000051,0.000051,0.000042
0.012500,0.037500,0.000021,-0.000128,-0.000753
0.037500,0.037500,-0.000060,0.000067,-0.000768
0.062500,0.037500,-0.000440,0.000405,-0.000793
0.087500,0.037500,-0.001188,0.000769,-0.000823
0.112500,0.037500,-0.002306,0.001108,-0.000855
0.137500,0.037500,-0.003762,0.001398,-0.000884
0.162500,0.037500,-0.005500,0.001629,-0.000907
0.187500,0.037500,-0.007456,0.001797,-0.000923
0.212500,0.037500,-0.009563,0.001904,-0.000930
0.237500,0.037500,-0.011754,0.001950,-0.000926
0.262500,0.037500,-0.013965,0.001941,-0.000912
0.287500,0.037500,-0.016135,0.001879,-0.000888
0.312500,0.037500,-0.018208,0.001771,-0.000854
0.337500,0.037500,-0.020134,0.001620,-0.000810
0.362500,0.037500,-0.021869,0.001433,-0.000757
0.387500,0.037500,-0.023373,0.001215,-0.000697
0.412500,0.037500,-0.024616,0.000972,-0.000631
0.437500,0.037500,-0.025571,0.000710,-0.000559
0.462500,0.037500,-0.026220,0.000433,-0.000483
0.487500,0.037500,-0.026549,0.000148,-0.000405
0.512500,0.037500,-0.026552,-0.000139,-0.000327
0.537500,0.037500,-0.026229,-0.000424,-0.000249
0.562500,0.037500,-0.025587,-0.000701,-0.000173
0.587500,0.037500,-0.024638,-0.000963,-0.000102
0.612500,0.037500,-0.023403,-0.001206,-0.000035
0.637500,0.037500,-0.021905,-0.001423,0.000026
0.662500,0.037500,-0.020179,-0.001609,0.000078
0.687500,0.037500,-0.018262,-0.001759,0.000122
0.712500,0.037500,-0.016198,-0.001868,0.000157
0.737500,0.037500,-0.014038,-0.001929,0.000182
0.762500,0.037500,-0.011837,-0.001938,0.000196
0.787500,0.037500,-0.009655,-0.001892,0.000200
0.812500,0.037500,-0.007557,-0.001787,0.000194
0.837500,0.037500,-0.005609,-0.001620,0.000179
0.862500,0.037500,-0.003876,-0.001394,0.000157
0.887500,0.037500,-0.002420,-0.001110,0.000129
0.912500,0.037500,-0.001293,-0.000781,0.000099
